Player,Club,Position
Kurt Capewell,Broncos,Forward
Patrick Carrigan,Broncos,Forward
Selwyn Cobbo,Broncos,Back
Herbie Farnworth,Broncos,Back
Thomas Flegler,Broncos,Forward
Tyson Gamble,Broncos,Playmaker
Payne Haas,Broncos,Forward
Kobe Hetherington,Broncos,Forward
Deloise Hoeter,Broncos,Forward
Jamayne Isaako,Broncos,Back
Ryan James,Broncos,Forward
Albert Kelly,Broncos,Playmaker
Corey Jensen,Broncos,Forward
Rhys Kennedy,Broncos,Forward
Brenko Lee,Broncos,Back
Ezra Mam,Broncos,Playmaker
David Mead,Broncos,Back
Tesi Niu,Broncos,Back
Corey Oates,Broncos,Back
Cory Paix,Broncos,Playmaker
Keenan Palasia,Broncos,Forward
Jordan Pereira,Broncos,Back
Brendan Piakura,Broncos,Forward
Adam Reynolds,Broncos,Playmaker
Jordan Riki,Broncos,Forward
TC Robati,Broncos,Forward
Kotoni Staggs,Broncos,Back
Jake Turpin,Broncos,Playmaker
Billy Walters,Broncos,Playmaker
Logan Bayliss,Broncos,Forward
Te Maire Martin,Broncos,Playmaker
Xavier Willison,Broncos,Forward
Nick Cotric,Raiders,Back
Jarrod Croker,Raiders,Back
Adam Elliott,Raiders,Forward
Jamal Fogarty,Raiders,Playmaker
Matt Frawley,Raiders,Playmaker
Emre Guler,Raiders,Forward
Corey Harawira-Naera,Raiders,Forward
Josh Hodgson,Raiders,Playmaker
Albert Hopoate,Raiders,Back
Peter Hola,Raiders,Forward
Corey Horsburgh,Raiders,Forward
Sebastian Kris,Raiders,Back
Trey Mooney,Raiders,Forward
Charnze Nicoll-Klokstad,Raiders,Back
Josh Papalii,Raiders,Forward
Jordan Rapana,Raiders,Back
Harry Rushton,Raiders,Forward
Xavier Savage,Raiders,Back
Brad Schneider,Raiders,Playmaker
Harley Smith-Shields,Raiders,Back
Tom Starling,Raiders,Playmaker
Ryan Sutton,Raiders,Forward
Joseph Tapine,Raiders,Forward
Matthew Timoko,Raiders,Back
Semi Valemei,Raiders,Back
Elliott Whitehead,Raiders,Forward
Jack Wighton,Raiders,Playmaker
Sam Williams,Raiders,Playmaker
Hudson Young,Raiders,Forward
Elijah Anderson,Raiders,Back
Ata Mariota,Raiders,Forward
Brandon Morkos,Raiders,Back
Clay Webb,Raiders,Forward
Josh Addo-Carr,Bulldogs,Back
Paul Alamoti,Bulldogs,Back
Corey Allan,Bulldogs,Back
Jake Averillo,Bulldogs,Playmaker
Bailey Biondi-Odo,Bulldogs,Playmaker
Braidon Burns,Bulldogs,Back
Matt Burton,Bulldogs,Playmaker
Josh Cook,Bulldogs,Playmaker
Matt Doorey,Bulldogs,Forward
Matt Dufty,Bulldogs,Back
Reece Hoffman,Bulldogs,Back
Raymond Faitala-Mariner,Bulldogs,Forward
Kyle Flanagan,Bulldogs,Playmaker
Jack Hetherington,Bulldogs,Forward
Josh Jackson,Bulldogs,Forward
Tuipolotu Katoa,Bulldogs,Back
Max King,Bulldogs,Forward
Jeremy Marshall-King,Bulldogs,Playmaker
Brent Naden,Bulldogs,Back
Jayden Okunbor,Bulldogs,Back
Tevita Pangai Junior,Bulldogs,Forward
Chris Patolo,Bulldogs,Forward
Aaron Schoupp,Bulldogs,Back
Ava Seumanufagai,Bulldogs,Forward
Joe Stimson,Bulldogs,Forward
Luke Thompson,Bulldogs,Forward
Jackson Topine,Bulldogs,Forward
Paul Vaughan,Bulldogs,Forward
Corey Waddell,Bulldogs,Forward
Brandon Wakeham,Bulldogs,Playmaker
Jayden Berrell,Sharks,Playmaker
Blayke Brailey,Sharks,Playmaker
Andrew Fifita,Sharks,Forward
Dale Finucane,Sharks,Forward
Wade Graham,Sharks,Forward
Braden Hamlin-Uele,Sharks,Forward
Mawene Hiroti,Sharks,Back
Royce Hunt,Sharks,Forward
Nicho Hynes,Sharks,Playmaker
Matt Ikuvalu,Sharks,Back
Sione Katoa,Sharks,Back
William Kennedy,Sharks,Back
Cameron McInnes,Sharks,Forward
Lachlan Miller,Sharks,Back
Luke Metcalf,Sharks,Playmaker
Matt Moylan,Sharks,Playmaker
Ronaldo Mulitalo,Sharks,Back
Briton Nikora,Sharks,Forward
Franklin Pele,Sharks,Forward
Jesse Ramien,Sharks,Back
Toby Rudolf,Sharks,Forward
Siosifa Talakai,Sharks,Forward
Jensen Taumoepeau,Sharks,Back
Aiden Tolman,Sharks,Forward
Connor Tracey,Sharks,Back
Braydon Trindall,Sharks,Playmaker
Jack Williams,Sharks,Forward
Teig Wilton,Sharks,Forward
Kade Dykes,Sharks,Back
Jonaiah Lualua,Sharks,Back
Jack Martin,Sharks,Forward
Ryan Rivett,Sharks,Playmaker
Tanah Boyd,Titans,Playmaker
Alexander Brimson,Titans,Playmaker
Jayden Campbell,Titans,Back
Erin Clark,Titans,Playmaker
Herman Ese'ese,Titans,Forward
Tino Fa'asuamaleaui,Titans,Forward
Beau Fermor,Titans,Forward
David Fifita,Titans,Forward
Sosefo Fifita,Titans,Back
Moeaki Fotuaika,Titans,Forward
Patrick Herbert,Titans,Back
Jaimin Jolliffe,Titans,Forward
Brian Kelly,Titans,Back
Alofi'ana Khan-Pereira,Titans,Back
Sam Lisone,Titans,Forward
Isaac Liu,Titans,Forward
Esan Marsters,Titans,Back
Greg Marzhew,Titans,Back
Sam McIntyre,Titans,Forward
Kevin Proctor,Titans,Forward
Phillip Sami,Titans,Back
Toby Sexton,Titans,Playmaker
Will Smith,Titans,Back
Corey Thompson,Titans,Back
Paul Turner,Titans,Playmaker
Joseph Vuna,Titans,Forward
Jarrod Wallace,Titans,Forward
Aaron Booth,Titans,Playmaker
Shallin Fuller,Titans,Playmaker
Tony Francis,Titans,Back
Thomas Weaver,Titans,Playmaker
Josh Aloiai,Sea Eagles,Forward
Morgan Boyle,Sea Eagles,Forward
Ethan Bullemor,Sea Eagles,Forward
Daly Cherry-Evans,Sea Eagles,Playmaker
Lachlan Croker,Sea Eagles,Playmaker
Andrew Davey,Sea Eagles,Forward
Sione Fainu,Sea Eagles,Forward
Kieran Foran,Sea Eagles,Playmaker
Reuben Garrick,Sea Eagles,Back
Morgan Harper,Sea Eagles,Back
Sean Keppie,Sea Eagles,Forward
Tolutau Koula,Sea Eagles,Back
Karl Lawton,Sea Eagles,Forward
Haumole Olakau'atu,Sea Eagles,Forward
Brad Parker,Sea Eagles,Back
Taniela Paseka,Sea Eagles,Forward
Jason Saab,Sea Eagles,Back
Josh Schuster,Sea Eagles,Forward
Toafofoa Sipley,Sea Eagles,Forward
Jorge Taufua,Sea Eagles,Back
Martin Taupau,Sea Eagles,Forward
Ben Trbojevic,Sea Eagles,Back
Jake Trbojevic,Sea Eagles,Forward
Tom Trbojevic,Sea Eagles,Back
Christian Tuipulotu,Sea Eagles,Back
Alec Tu'itavake,Sea Eagles,Forward
Dylan Walker,Sea Eagles,Back
Kaeo Weekes,Sea Eagles,Back
Gordon Chan Kum Tong,Sea Eagles,Playmaker
Jamie Humphreys,Sea Eagles,Playmaker
Nelson Asofa-Solomona,Storm,Forward
Jesse Bromwich,Storm,Forward
Kenneath Bromwich,Storm,Forward
Xavier Coates,Storm,Back
Tom Eisenhuth,Storm,Forward
Harry Grant,Storm,Playmaker
Jordan Grant,Storm,Forward
Jack Howarth,Storm,Forward
Jahrome Hughes,Storm,Playmaker
Dean Ieremia,Storm,Back
George Jennings,Storm,Back
Cooper Johns,Storm,Playmaker
Tui Kamikamica,Storm,Forward
Felise Kaufusi,Storm,Forward
Josh King,Storm,Forward
Chris Lewis,Storm,Forward
Trent Loiero,Storm,Forward
Nick Meaney,Storm,Back
Tepai Moeroa,Storm,Forward
Cameron Munster,Storm,Playmaker
Jayden Nikorima,Storm,Playmaker
Justin Olam,Storm,Back
Ryan Papenhuyzen,Storm,Back
Jonah Pezet,Storm,Playmaker
Brandon Smith,Storm,Playmaker
Reimis Smith,Storm,Back
Will Warbrick,Storm,Back
Christian Welch,Storm,Forward
Tyran Wishart,Storm,Playmaker
Bronson Garlick,Storm,Forward
Cole Geyer,Storm,Playmaker
Marion Seve,Storm,Back
Mitchell Barnett,Knights,Forward
Bradman Best,Knights,Back
Jayden Brailey,Knights,Playmaker
Jake Clifford,Knights,Playmaker
Adam Clune,Knights,Playmaker
Phoenix Crossland,Knights,Playmaker
Lachlan Fitzgibbon,Knights,Forward
Tyson Frizell,Knights,Forward
Dane Gagai,Knights,Back
Bailey Hodgson,Knights,Back
Hymel Hunt,Knights,Back
Jack Johns,Knights,Forward
Brodie Jones,Knights,Forward
Jacob Kiraz,Knights,Back
David Klemmer,Knights,Forward
Kurt Mann,Knights,Forward
Jirah Momoisea,Knights,Forward
Brayden Musgrove,Knights,Back
Kalyn Ponga,Knights,Back
Chris Randall,Knights,Playmaker
Daniel Saifiti,Knights,Forward
Jacob Saifiti,Knights,Forward
Simi Sasagi,Knights,Playmaker
Pasami Saulo,Knights,Forward
Sauaso Sue,Knights,Forward
Enari Tuala,Knights,Back
Dominic Young,Knights,Back
Krystian Mapapalangi,Knights,Playmaker
Leo Thompson,Knights,Forward
