,,,,,,,,,,
,,,,,,,,,,
,ROUND 1,,,,,,,,,0
,,The XIII,,v,,Miami Monsters,Hell,,,0
,,Coolangatta Cougars,,v,,Downtown Druggies,The Cage of Pain,,,0
,,Newcastle United Gunners,,v,,London Werewolves,The Armoury,,,0
,,Rocket Scientists,,v,,Coal Miners,Elysium Fields,,,0
,,Oxford United Boxes,,v,,Liddle Rams,Fragile Stadium,,,0
,,MacLaren's Dignoes,,v,,CB Transport Truckers,Lillyfield Rectangle,,,0
,,Bondi Wet Sox,,v,,Punters,Bondi Beach Pavilion,,,0
,,,,,,,,,,0
,ROUND 2,,,,,,,,,
,,Punters,,v,,Coal Miners,TAB Stadium,,,0
,,Bondi Wet Sox,,v,,MacLaren's Dignoes,Bondi Beach Pavilion,,,0
,,Liddle Rams,,v,,CB Transport Truckers,The Meadow,,,0
,,Oxford United Boxes,,v,,Coolangatta Cougars,Fragile Stadium,,,0
,,London Werewolves,,v,,Downtown Druggies,Full Moon Stadium,,,0
,,Newcastle United Gunners,,v,,The XIII,The Armoury,,,0
,,Rocket Scientists,,v,,Miami Monsters,Elysium Fields,,,0
,,,,,,,,,,0
,ROUND 3,,,,,,,,,0
,,The XIII,,v,,Oxford United Boxes,Hell,,,0
,,Coal Miners,,v,,MacLaren's Dignoes,Lithgow Stadium,,,0
,,Coolangatta Cougars,,v,,Bondi Wet Sox,The Cage of Pain,,,0
,,CB Transport Truckers,,v,,London Werewolves,TWU Stadium,,,0
,,Punters,,v,,Liddle Rams,TAB Stadium,,,0
,,Downtown Druggies,,v,,Rocket Scientists,Crack-Den Stadium,,,0
,,Miami Monsters,,v,,Newcastle United Gunners,Monster Arena,,,0
,,,,,,,,,,0
,ROUND 4,,,,,,,,,0
,,Liddle Rams,,v,,Coal Miners,The Meadow,,,0
,,MacLaren's Dignoes,,v,,Coolangatta Cougars,Lillyfield Rectangle,,,0
,,London Werewolves,,v,,Punters,Full Moon Stadium,,,0
,,Bondi Wet Sox,,v,,The XIII,Bondi Beach Pavilion,,,0
,,Rocket Scientists,,v,,CB Transport Truckers,Elysium Fields,,,0
,,Oxford United Boxes,,v,,Miami Monsters,Fragile Stadium,,,0
,,Newcastle United Gunners,,v,,Downtown Druggies,The Armoury,,,0
,,,,,,,,,,0
,ROUND 5,,,,,,,,,0
,,Downtown Druggies,,v,,Oxford United Boxes,Crack-Den Stadium,,,0
,,Liddle Rams,,v,,London Werewolves,The Meadow,,,0
,,The XIII,,v,,MacLaren's Dignoes,Hell,,,0
,,Punters,,v,,Rocket Scientists,TAB Stadium,,,0
,,Miami Monsters,,v,,Bondi Wet Sox,Monster Arena,,,0
,,CB Transport Truckers,,v,,Newcastle United Gunners,TWU Stadium,,,0
,,Coal Miners,,v,,Coolangatta Cougars,Lithgow Stadium,,,0
,,,,,,,,,,0
,ROUND 6,,,,,,,,,0
,,Rocket Scientists,,v,,Liddle Rams,Elysium Fields,,,0
,,Coolangatta Cougars,,v,,The XIII,The Cage of Pain,,,0
,,Bondi Wet Sox,,v,,Downtown Druggies,Bondi Beach Pavilion,,,0
,,MacLaren's Dignoes,,v,,Miami Monsters,Lillyfield Rectangle,,,0
,,Newcastle United Gunners,,v,,Punters,The Armoury,,,0
